Tiempo astronómico	Energía	Momento angular
4.1	-0.000111347	-0.00081759
4.11	-0.000111347	-0.00081759
4.12	-0.000111347	-0.00081759
4.13	-0.000111347	-0.00081759
4.14	-0.000111347	-0.00081759
4.15	-0.000111347	-0.00081759
4.16	-0.000111347	-0.00081759
4.17	-0.000111347	-0.00081759
4.18	-0.000111347	-0.00081759
4.19	-0.000111347	-0.00081759
4.2	-0.000111347	-0.00081759
4.21	-0.000111347	-0.00081759
4.22	-0.000111347	-0.00081759
4.23	-0.000111347	-0.00081759
4.24	-0.000111347	-0.00081759
4.25	-0.000111346	-0.00081759
4.26	-0.000111346	-0.00081759
4.27	-0.000111346	-0.00081759
4.28	-0.000111346	-0.00081759
4.29	-0.000111346	-0.00081759
4.3	-0.000111346	-0.00081759
4.31	-0.000111346	-0.00081759
4.32	-0.000111346	-0.00081759
4.33	-0.000111346	-0.00081759
4.34	-0.000111346	-0.00081759
4.35	-0.000111346	-0.00081759
4.36	-0.000111346	-0.00081759
4.37	-0.000111346	-0.00081759
4.38	-0.000111346	-0.00081759
4.39	-0.000111346	-0.00081759
4.4	-0.000111346	-0.00081759
4.41	-0.000111346	-0.00081759
4.42	-0.000111346	-0.00081759
4.43	-0.000111346	-0.00081759
4.44	-0.000111346	-0.00081759
4.45	-0.000111346	-0.00081759
4.46	-0.000111346	-0.00081759
4.47	-0.000111346	-0.00081759
4.48	-0.000111345	-0.00081759
4.49	-0.000111345	-0.00081759
4.5	-0.000111345	-0.00081759
4.51	-0.000111345	-0.00081759
4.52	-0.000111345	-0.00081759
4.53	-0.000111345	-0.00081759
4.54	-0.000111345	-0.00081759
4.55	-0.000111345	-0.00081759
4.56	-0.000111345	-0.00081759
4.57	-0.000111345	-0.00081759
4.58	-0.000111345	-0.00081759
4.59	-0.000111345	-0.00081759
4.6	-0.000111345	-0.00081759
4.61	-0.000111345	-0.00081759
4.62	-0.000111345	-0.00081759
4.63	-0.000111345	-0.00081759
4.64	-0.000111345	-0.00081759
4.65	-0.000111345	-0.00081759
4.66	-0.000111345	-0.00081759
4.67	-0.000111345	-0.00081759
4.68	-0.000111345	-0.00081759
4.69	-0.000111345	-0.00081759
4.7	-0.000111345	-0.00081759
4.71	-0.000111344	-0.00081759
4.72	-0.000111344	-0.00081759
4.73	-0.000111344	-0.00081759
4.74	-0.000111344	-0.00081759
4.75	-0.000111344	-0.00081759
4.76	-0.000111344	-0.00081759
4.77	-0.000111344	-0.00081759
4.78	-0.000111344	-0.00081759
4.79	-0.000111344	-0.00081759
4.8	-0.000111344	-0.00081759
4.81	-0.000111344	-0.00081759
4.82	-0.000111344	-0.00081759
4.83	-0.000111344	-0.00081759
4.84	-0.000111344	-0.00081759
4.85	-0.000111344	-0.00081759
4.86	-0.000111344	-0.00081759
4.87	-0.000111344	-0.00081759
4.88	-0.000111344	-0.00081759
4.89	-0.000111344	-0.00081759
4.9	-0.000111344	-0.00081759
4.91	-0.000111344	-0.00081759
4.92	-0.000111344	-0.00081759
4.93	-0.000111344	-0.00081759
4.94	-0.000111343	-0.00081759
4.95	-0.000111343	-0.00081759
4.96	-0.000111343	-0.00081759
4.97	-0.000111343	-0.00081759
